wallet_address,total_volume_usd,total_pnl_usd,total_trades,median_trade_usd,top5_volume_usd,pnl_0_3mo,pnl_3_6mo,pnl_6_9mo,pnl_9_12mo,profitable_categories,primary_category,total_markets,win_rate
0x466458add0a0427f28c544e6f6179025d596a5af,3247.65,13771.82,85,13.23,915.23,8195.72,4368.81,637.7,569.59,2,Crypto,79,29.8
0x66076f907999229486cce48478f1f84fd73f0a4d,31591.95,200610.41,1155,16.22,17871.88,153688.48,8319.9,28100.68,10501.35,1,Culture,82,31.0
0x2fb3c9a2d74d643a9919735428141b5b37c5d0f2,23371.08,-105185.25,47,188.71,7733.05,-59722.26,-23903.77,-18906.56,-2652.65,5,Crypto,11,16.4
0x98a744e9fc3709c74201226ed9469f163f08017a,16684.65,122761.17,34,213.46,4493.03,37627.59,47112.37,29762.56,8258.64,3,Culture,474,29.9
0x0ecd468078e91a388b91e759556081a5fb611eef,34534.55,16987.39,17,1662.08,3765.54,5762.75,8593.61,2075.35,555.69,2,Sports,218,44.2
0xd42419f9cfa25d3ab01f3dd7fb810aaabc7df1d5,1190498.43,37893.75,11,91252.6,623894.65,7435.27,15873.9,10198.0,4386.59,0,Crypto,328,42.6
0x0e086bbe9d48a5ca1b239f98ca65b318f56197a0,10597.12,14467.83,8,512.16,1529.09,4048.36,6530.72,3214.54,674.21,4,Macro,75,24.7
0x6f1196741592e98af9594056907c59558b7bb56b,415217.06,40578.15,14,21454.79,146164.73,8054.35,11511.83,14736.34,6275.63,3,Sports,116,43.9
0xc6c349b5fa9a6f549fdd733956b2e2ac2ce7ea22,2067.84,-7294.81,49,15.02,1298.69,-2186.83,-1875.92,-2654.83,-577.23,5,Politics,271,49.5
0x7024398656c5b4ac5af3a70322e6dfcfc45b288d,30645.16,121324.01,90,307.28,16614.45,38951.95,20298.33,57795.29,4278.44,2,Culture,105,40.5
0xa56551c494db8a9309a39508a3d40b2a1622f05e,82909.6,-31517.69,58,623.96,30344.82,-13794.21,-4606.84,-10102.21,-3014.42,0,Crypto,306,25.8
0x593aef40a4cec6d8813c9167942977f0f60cb880,193386.23,95578.77,17,4389.02,52331.2,36747.39,22802.35,30482.32,5546.71,2,Culture,462,61.3
0xf8b740a413ae264bbd36e855c75c0d6bb0273f41,248314.95,-46549.37,210,897.45,55424.13,-18178.84,-7771.81,-19453.13,-1145.59,3,Sports,153,45.9
0xef207fe1ceb6f369a3656a570b643ce48b5ac49d,292638.83,179.85,165,1259.94,5543.27,66.38,63.26,33.4,16.82,1,Culture,304,38.1
0xed74a4f9d23c8158f95d13c7c6b425697003a03d,29808.53,-80757.0,42,242.9,8313.34,-29697.34,-13328.91,-36115.25,-1615.5,0,Macro,457,27.5
0xe22736d242be77888ab34b65ed168e4428721460,23749.02,41401.9,20,859.16,6377.1,9645.93,17585.37,9687.25,4483.34,4,Macro,446,81.4
0x517e1b202e4ad22b64505984b6d3e496841ae659,333017.98,120610.08,124,1538.24,143845.03,59469.48,33932.35,25576.86,1631.39,3,Macro,4,50.9
0x71576630f8e948f832a0f458d9a8c5eaf7803b22,40838.94,-1188.49,72,323.83,4828.13,-563.63,-242.7,-362.99,-19.17,2,Sports,56,26.1
0x78501e9138561c0a6f9227014d9a44d2b95417e5,4668.66,-10750.86,6,573.54,1782.67,-5410.3,-2554.72,-375.52,-2410.32,3,Culture,493,43.8
0x9487aa2024a602168d7c7a0508a8eb05898b999d,6206.95,-84169.36,49,50.53,1728.92,-31068.07,-21880.92,-19069.61,-12150.75,4,Culture,462,47.6
0xe31bed40e2356b28454eaa8a364dd03b925a8266,9519.48,-13343.41,80,47.63,2181.8,-3297.06,-6068.15,-2338.02,-1640.19,0,Macro,161,39.6
0x79d851e0d3f3fc5384a7ec9b4edfbbf32083b140,161833.21,-122423.54,14,7081.74,36220.45,-43950.12,-48224.94,-15100.45,-15148.03,2,Culture,260,48.2
0xb5e040227824f230d72c266e09390ee0c19836b5,79606.54,-68030.24,72,419.24,18216.49,-33673.01,-20140.01,-11037.59,-3179.63,1,Culture,286,23.6
0xce3c8f1265b544f4f76f9f0d133f866995572ba1,238224.96,23142.88,6,31293.55,42045.01,8808.93,4561.86,8546.21,1225.89,0,Macro,334,33.6
0x26780acb0afecac5a98877c1574357b68a99d1ff,25476.07,110521.06,405,77.71,9459.48,22347.39,49982.01,31489.32,6702.34,0,Crypto,375,49.2
0xe943ac509fb671fecb7f83c8a4fb7a08f5d701e8,82213.88,229736.87,354,112.93,34125.19,148146.04,15599.94,61008.07,4982.83,2,Culture,187,64.7
0x3c53b03bd7d9a8579b29d0651e05e1a6ec2b371b,209228.2,-41926.81,37,1893.16,21822.22,-13285.1,-12350.98,-14113.47,-2177.25,3,Politics,445,29.2
0x42348d727858e38685643cb5d89a0bfdbeee2b6b,32251.08,119824.01,94,387.67,7423.3,38022.6,54429.8,20217.12,7154.5,3,Crypto,30,52.5
0xc748cb49240a74a806bb9359e145566fcfb83f86,149275.74,24500.2,1,118699.3,9958.03,11271.44,7198.93,5365.92,663.9,4,Culture,17,57.7
0x40d864bcbe518fefe9f887bb6ebd7113f33414c8,15933.01,-7099.81,9,911.79,6198.15,-3274.9,-2821.27,-377.81,-625.82,2,Culture,479,55.1
0x1c67ce65ecf96610565cc8c4e72d8510e39f5efa,28966.41,39607.56,35,320.55,10280.52,25949.12,6227.87,4816.77,2613.8,3,Sports,89,34.9
0xbfe7c04ff5d996274032d0ec09e467947e9227ce,27903.97,9953.32,10,2801.91,14910.05,3938.76,3900.18,1703.51,410.87,4,Politics,497,84.3
0x065c12efe9763a1547f5de8dd7984bc8baa874fd,5477.04,13831.66,159,20.63,4093.75,2114.63,3958.01,7580.53,178.49,3,Sports,143,28.2
0x46265e61119a9d27e4a0728919464375eca940c9,158568.98,-27666.65,1092,59.43,64552.02,-13055.39,-5209.98,-9092.93,-308.35,5,Culture,182,42.1
0x6f5568f281e08df127f3d6af2f38062bc359051b,23416.48,-106848.77,9,1608.66,9772.07,-42434.89,-41671.95,-21757.59,-984.34,1,Crypto,14,29.7
0x9c43ec44677db5c087aae3c023dc65bd1232fa40,61389.14,-118490.02,15,3367.18,23862.95,-30770.3,-46109.12,-19204.41,-22406.18,4,Politics,471,39.7
0xdfa3640f28db74a0d5efba81e33aef980d371a6f,156606.77,57259.59,77,1653.42,30269.29,36723.45,6276.65,11939.44,2320.05,4,Politics,180,39.4
0x686cdb87b2e5d0c635e627a2e3b1914380d2df8f,146248.48,-17136.01,611,140.63,78923.68,-5412.13,-9890.65,-1514.19,-319.03,3,Sports,84,22.6
0x38769d18b168becceb002653d36c21528cd916cc,226561.16,-42687.11,8,15269.25,113365.25,-20275.33,-8424.74,-5630.51,-8356.53,0,Sports,242,69.2
0xc8e13a4fc31a1cdd5da3ab22d00ef7fa32ff147e,49169.51,5680.45,79,230.86,10969.68,1230.83,2603.45,1338.01,508.16,3,Politics,78,74.3
0xb6b2e2c054b140ce136c5d4088e64bb94c1ba6d5,25678.35,68594.58,838,13.85,7156.07,29375.75,20567.78,17713.62,937.44,5,Crypto,395,45.3
0xfda6a110b8953163752802f1728051d727bb5965,51050.14,19429.12,4,5503.74,17143.63,10511.51,6731.5,1800.65,385.46,3,Crypto,37,31.4
0x710c8cb746476a1b56924a1f62da70e5fb8adef9,2049.46,-47484.39,7,98.83,802.92,-12113.58,-12024.73,-5217.41,-18128.67,0,Politics,250,55.1
0xe3618930fffe7a6a4a3811922f7ced932e81b718,3313.55,103103.44,28,69.37,1915.05,42732.04,44036.17,15745.88,589.35,1,Sports,196,35.6
0x5887e5322a8de36f02340b2115d86834f7e891a3,4249.69,131334.84,25,100.74,2946.05,75131.61,46205.44,6770.4,3227.38,3,Macro,19,55.2
0x24812b295b8a89830aba65065838381938b9c62a,8147.83,44564.53,184,15.64,765.23,18246.13,12226.32,3499.85,10592.24,4,Culture,27,29.8
0xcf028314e14019fd8229635af024969eb47ee1fd,133192.2,82893.08,78,1273.44,33790.7,32436.86,38937.9,10789.23,729.09,2,Culture,259,35.5
0xcea58b52ad6d6f9b585217371e54dd5e355324c7,9789.27,104356.8,3,1356.46,1750.85,56275.57,38297.38,2297.87,7485.98,5,Crypto,197,27.9
0xdcd101eb3161b97da45988566503bca798024003,28104.22,95407.95,118,96.82,3591.96,45268.95,19813.7,23042.73,7282.57,4,Politics,65,46.2
0x0b31a7fd789f3df41d37f7aceb4cc44705dce6d7,804886.53,54127.93,22,36040.33,25381.75,30332.01,8877.75,14895.26,22.92,1,Culture,70,40.2
0xdc580ad3970f099c1d94233f8f1176628b55b33b,29362.45,52867.76,369,43.48,1105.01,5057.05,25053.33,19450.05,3307.34,1,Culture,402,37.7
0x98884edd5131b430eaedc2e6325585e7b738ed6e,261720.16,46572.85,21,10040.68,32797.99,12537.5,13649.71,8295.69,12089.94,5,Sports,365,56.1
0xdd413e6e2aa3e0e786e6f3083fc3b14f23079fbc,9253.57,-82787.01,21,364.83,237.2,-32337.35,-17230.02,-32122.72,-1096.93,3,Crypto,304,37.6
0xb444607e318a32496f8d68dbcffcaa682b2ed3f7,39700.73,61057.85,122,178.76,5646.6,24840.35,18259.38,14476.03,3482.09,5,Politics,416,34.6
0x67b46b78453d41972a03345c9b13b99fd7631391,8954.9,-103465.12,171,36.45,3943.78,-18416.45,-40016.52,-22167.57,-22864.58,5,Culture,35,41.6
0x70edc1165eae72d8c6b681810f255bd717b3e0ca,30391.97,-58567.96,106,112.38,4200.03,-17521.88,-28886.56,-7063.42,-5096.09,2,Macro,344,60.1
0x5a82a7036a30aaf48749597bdc28701f61c52114,321456.1,109285.21,4,28734.99,28328.23,45406.5,54816.99,7309.41,1752.31,0,Politics,376,70.3
0xeb9fb23a65cbd4b449b08bf40dab3cad5b1e4543,1891.94,72217.61,122,6.04,719.4,43793.14,1473.44,15204.64,11746.4,5,Macro,101,29.3
0x429920b106ff7d20d4a9d3b90819b8f00065736e,142749.59,123991.86,11,9368.03,61637.89,41116.68,46260.49,22773.16,13841.53,3,Crypto,268,83.3
0x921a0e6d83e819e83f3564251542ddedc98b6f40,96323.85,-16733.95,77,891.57,42700.63,-8155.96,-1606.27,-3190.76,-3780.96,0,Crypto,383,49.6
0xa337316c74fbf843e95b2a09f155052df77c7193,18245.98,-87179.91,6,2235.37,7143.58,-10620.95,-34275.18,-30595.8,-11687.98,3,Sports,302,30.7
0x63fc8be821201ade26af59ba6fec407176b68d1f,3320.55,-14234.98,106,28.55,2189.36,-6750.46,-2474.28,-2745.27,-2264.97,0,Culture,125,43.8
0xef68bad6ca2895cd9dcd67df0926157c8d37014a,69165.61,13162.5,16,1502.89,7299.9,9177.74,1615.39,1567.13,802.25,1,Crypto,332,21.0
0xdf5b30ca282994587f448be5bd446c5562020f8b,20764.8,11319.1,7,1760.99,4045.02,3973.55,2761.1,1991.26,2593.19,2,Culture,379,35.5
0xa0a379d33492ba76d9646c0b5bc14436baa35ae0,95354.08,95694.44,159,463.34,39767.77,52543.17,15335.25,14572.01,13244.0,2,Politics,5,54.3
0xa27aa4ceacd73cca1bf8fb5883041f3b2c7264b0,62548.92,-23901.63,78,301.17,26110.56,-10774.13,-4039.04,-7970.25,-1118.22,3,Crypto,284,67.7
0x2ce4e1b323ec6c7c8b0e7bf63bdd91a79bab916f,1474099.4,33162.76,21,41826.94,39446.55,16428.12,11593.33,4723.8,417.5,5,Sports,252,20.5
0xd6b7a1fd76528a68b1d8041c228059f00d189430,37096.9,-74090.17,481,87.92,18781.91,-45025.18,-9619.15,-17971.16,-1474.69,2,Culture,183,16.7
0xc683b9857e01877adbe1344da1820e07165576b1,7731.09,41025.38,28,238.79,1848.66,21255.19,11480.73,6023.3,2266.16,4,Crypto,23,40.1
0x1e1d853aaa1ae78abefdbb59f066e2e3540238e1,85695.13,5248.68,57,681.41,38129.26,3134.91,889.21,1039.41,185.15,5,Macro,42,38.7
0xcd6d0567eb95fa5e855a4e824aa72b757804f784,92966.4,-54985.07,81,455.02,28988.92,-23488.21,-17089.1,-8486.79,-5920.96,4,Politics,375,57.3
0xbc46cb4e08b8c40b13b6479f433a2dcb6c0dd357,907433.12,-13866.35,21,34184.49,402166.12,-11521.71,-1401.99,-555.89,-386.76,1,Macro,413,16.9
0x130d0be7fe90192465d9eb992b244dd7ea3a6c3d,318132.26,-9734.06,110,1026.2,47782.75,-2878.25,-3724.84,-612.06,-2518.91,4,Politics,210,50.0
0xa1b9e6461a4603ad63211a11f2e22e74d234d817,122240.06,-16612.41,24,1906.05,36556.48,-5029.49,-6707.0,-3836.45,-1039.47,1,Sports,469,53.8
0x1831bb79b797fd90b8368b37a1069f3d147d35fd,1117501.32,146707.3,29,14451.69,441048.64,89355.69,12757.43,11210.87,33383.31,2,Sports,463,79.2
0x1d9e9543d523fbd97a52604ab29277be6d73a697,5555.11,-2875.68,421,10.14,906.77,-1344.49,-865.57,-459.55,-206.07,3,Politics,333,51.7
0xbed7eac84e1d4210c423b3a3c380387637d7dee0,16655.52,-14511.69,11,1661.73,4677.36,-9956.61,-2090.25,-2336.83,-128.0,1,Crypto,290,23.1
0x6344519cdd7e42c06e1ee3d7fb4ed4f73e9ab4aa,9384.81,-162796.08,1,3465.16,3485.19,-69782.96,-81599.65,-4490.33,-6923.15,0,Sports,482,31.1
0x13fb241492f4d3bd3eb83a9808eda7867b70a261,27457.11,-66536.59,611,30.51,3364.02,-28132.91,-20442.5,-17162.45,-798.72,5,Crypto,305,28.7
0x9ebcedad3eba421de9a71b96de31ea5f9fb10060,3814.74,-16045.87,2499,5.0,669.19,-7108.21,-3820.84,-4889.87,-226.96,4,Macro,467,44.1
0x6b81b41cfff0292ae34a60e4f399fedc7ba347c2,213267.37,-49868.21,29,2975.03,87549.08,-24077.04,-7259.1,-6792.99,-11739.09,0,Politics,489,75.5
0x151e7acb7d1f1f8f0f0b6038f37ebd5ea613dcdf,38390.09,115536.61,2,17736.32,12434.83,33816.36,25622.34,44303.16,11794.75,2,Macro,98,27.9
0x5210ed5614402ec77bbd375b90ddda66b686b122,3160.19,-8195.02,34,36.92,159.23,-5461.26,-1508.51,-244.35,-980.91,1,Sports,330,38.8
0xc7772b3733fc999951a7e979e26421ee1bf65413,7854.5,108075.54,35,78.34,2001.04,47770.42,47364.5,11855.73,1084.89,5,Sports,365,5.0
0x5a8f46ff8210fb74f4d7471229cd383bbfe3da7a,112086.67,9936.37,41,1137.94,10716.02,4363.56,4469.65,940.74,162.42,5,Crypto,410,68.1
0xc212adcb1c41759f4de34aa647f063e549f5578e,320056.6,7978.23,10,18075.25,112315.68,2723.52,3779.71,942.33,532.67,4,Macro,175,57.8
0x2dc454a1dae6385f8643cbcc708dfcdd9a1d08a1,3247713.55,-2103.72,130,9155.45,131270.87,-1142.86,-392.11,-455.3,-113.45,2,Macro,430,46.9
0xb97de40232f06ebd787212708428292ff408b9ca,20332373.59,5303.7,119,87155.52,5224406.75,1259.56,2737.26,902.42,404.46,0,Politics,244,28.1
0xfbbe47d1a3079cd7351cd65d2d610e1c13ea44a3,137148.4,142503.6,5,11248.61,21427.07,56708.58,27321.34,55724.06,2749.63,1,Crypto,194,21.3
0xc3026ca728f11d1eb1df8afb326c83541f5a7f9d,8274.42,-180568.86,155,20.49,933.68,-96186.44,-57956.74,-23501.51,-2924.17,0,Sports,79,32.6
0xdeb9f751054c2515dcf705fe9402e0731b77a686,1000.0,-155123.66,1186,5.0,275.09,-27168.36,-67061.68,-40914.72,-19978.9,4,Sports,161,59.7
0x61688a2e5347677e7e53d2ce9a4ff6f5d1b2fb51,102275.24,-38453.67,70,1019.39,26264.12,-8372.45,-14183.38,-6288.69,-9609.15,0,Culture,487,53.3
0xf26d91855eaef0ca761477ff13fc8b00c73a518c,11779.52,6162.23,32,347.52,923.53,2069.7,1800.03,1360.86,931.64,4,Politics,358,16.6
0x2b7eaacf908cd00685ffe001f9ab5979b9125efa,26089.43,60208.35,44,447.72,9766.23,29041.51,5375.55,25712.21,79.09,5,Crypto,363,57.0
0xc1ff5e5abf3017a16e6bd0e31af0570fbdd2d68b,17602.68,42846.98,137,67.4,4963.53,21378.22,14352.88,5992.89,1123.0,1,Crypto,447,43.6
0x6859b2751c35609f6abf4444632d292f81ec04dc,45180.38,-25739.67,4,5908.68,8627.21,-3120.51,-14797.56,-1782.08,-6039.53,4,Sports,134,25.8
0x3bf1eeedc6401404e4e7dde8ece2054261465f98,504821.64,86523.5,69,3514.36,237861.57,44524.99,21691.18,6620.97,13686.36,5,Macro,331,21.0
0xc76fd31778687ab9f11c31bc42ad7cc2ae972db9,81969.06,87415.63,30,1636.87,18098.25,32481.04,28572.22,6626.76,19735.62,2,Crypto,186,64.2
0x0b946619f2cea28f4cf753c6523388959a4bc48a,43596.42,19724.63,872,19.75,19725.28,6516.18,6577.62,6191.28,439.55,2,Macro,424,40.4
0x3979f7e1107f742da3363e5a8819e23ce531a61e,7545.39,82012.61,42,63.96,1138.08,15031.19,38156.99,20388.9,8435.53,1,Sports,211,4.5
0xcdb1436cbad0a7d2c9b83483e350b7a7e8ba7e6d,2101.98,26811.62,666,5.0,138.49,15492.34,6912.57,3955.22,451.49,2,Culture,427,56.0
0xc94454fccdac3bd6c4d653b1aaa37b50b2cc310d,22637.98,-39918.64,10,935.32,6008.84,-21674.7,-5706.24,-1729.57,-10808.13,5,Macro,374,14.2
0x77f6c6a8a845e6cdb76382467f08f8dc154312ec,53768.06,60825.35,131,179.11,13764.06,32164.15,18375.71,9386.53,898.95,3,Sports,386,20.1
0x9b03a451e4aafcc486ebdafedd80564c175ab1cb,2055150.89,13849.05,88,11971.5,315292.58,4212.15,2908.6,6719.4,8.9,1,Culture,462,24.9
0x063970d7667a7c92937b9f417f064dabb8c6a2ad,77695.22,5107.19,14,4568.5,11364.92,1236.44,1118.03,1379.48,1373.24,3,Culture,395,61.4
0x427642070d7f8ec49e93d95127e2576d1cab41b2,427401.45,122836.29,71,2361.13,154648.8,33692.31,58121.66,26809.05,4213.26,4,Crypto,161,54.8
0xc309033692e9d126606f427647bf727dbd0f5956,22057.52,-191069.77,336,22.53,3900.21,-126929.98,-23869.42,-39127.16,-1143.21,0,Politics,261,44.4
0x1f5355bd08821d517c54a1965859395a9e3d9095,5597.71,-108414.73,33,71.03,1599.46,-56599.43,-37864.02,-8813.93,-5137.36,4,Crypto,236,30.7
0xd6d8676d38b7120a9866339c58077784dc21db44,8688.59,-89965.63,4,770.46,3040.6,-23519.02,-31497.72,-33863.69,-1085.21,1,Macro,33,42.6
0xfb4e177794ae5d208e0b2d0e301d4c170c5a0901,14038.35,-24060.85,53,89.33,4041.72,-12277.67,-7195.15,-1113.15,-3474.89,1,Sports,297,41.2
0xe1020d8bfcbe375079c0dc194a962d317b949ec7,4226731.11,-15368.65,14,191747.96,3425626.7,-6434.27,-2831.48,-4195.53,-1907.38,2,Politics,219,43.6
